ID,PROVINCIA,COMUNIDAD,P_FELICIDAD,P_SALUD,S_NIVEL_VIDA,S_LABORAL,S_AMOR,S_SEXO,PAREJA,AÑOS_PAREJA,S_PAREJA,CONVIVE_PAREJA,CASADO,AFINIDAD_GEN,AFINIDAD_GUSTOS,AFINIDAD_SOCIAL,AFINIDAD_ECONOMI,AFINIDAD_SEX,IMPORTANCIA_SEX,IMPORTANCIA_SEX_PAREJA,EDUCACION_S,ATRACION_P,N_PAREJAS,COMUNICACION_SEX,R_EXT_MATRIMONIAL,ATRACCIÓN,F_SEXO,F_ANUAL,SEXO,EDAD,E_CIVIL,ESTUDIOS,SIT_LABORAL,OCUPACION,STATUS,NACIONALIDAD,RELIGION,SIT_ENT,PERCEPCION_EN,BIENESTAR
27218,Sevilla,Andalucía,5,3,2,2,5,3,1,3,4,0,0,3,3,4,3,4,7,5,1,0,3,3,1,1,Regularmente,0,0,34,0,2,2,Mando,1,1,1,0,2,3.0
27345,Sevilla,Andalucía,4,5,4,5,5,4,1,24,4,1,1,3,3,4,4,4,7,6,0,0,4,3,1,1,Regularmente,0,0,58,1,2,2,Administrativo,1,1,1,1,2,4.5
27416,Huelva,Andalucía,3,3,3,0,4,3,1,31,3,1,1,3,4,3,4,3,7,7,1,0,6,3,1,1,Regularmente,0,0,53,1,2,2,Obrero,1,1,0,0,2,2.25
27645,Segovia,Castilla y León,4,5,4,4,5,4,1,20,4,1,1,3,4,4,4,4,7,5,0,0,10,3,1,1,Regularmente,0,0,40,1,3,2,Mando,1,1,1,0,1,4.25
27934,Sevilla,Andalucía,2,5,2,4,5,4,1,10,4,1,0,3,2,4,2,4,4,5,0,0,5,3,1,1,Regularmente,1,0,44,0,2,2,Obrero,1,1,0,0,2,3.25
28070,Huelva,Andalucía,4,5,4,4,6,5,1,22,5,1,1,4,4,4,4,4,8,6,0,0,1,3,1,1,Regularmente,0,0,48,1,2,2,Obrero,1,1,0,0,1,4.25
28399,Huelva,Andalucía,4,3,3,3,3,1,1,8,4,0,0,3,3,4,3,4,6,6,0,0,12,3,1,1,Regularmente,0,0,45,0,2,2,Obrero,1,1,0,0,2,3.25
28732,Guipúzcoa,País Vasco,5,4,4,5,6,5,1,2,5,1,0,4,3,5,4,5,5,5,0,0,50,3,1,2,Regularmente,0,0,34,0,2,2,Comerciante,1,1,0,0,2,4.5
29347,Zamora,Castilla y León,4,4,4,4,5,4,1,1,5,0,0,3,3,4,3,4,6,10,0,0,20,3,1,1,Regularmente,0,0,21,0,2,2,Obrero,1,1,1,0,1,4.0
29430,Zamora,Castilla y León,4,3,2,4,5,4,1,30,4,1,1,3,4,4,4,4,10,10,0,0,998,3,1,0,Diariamente,0,0,48,1,2,2,Obrero,1,1,1,1,1,3.25
29464,Barcelona,Cataluña,5,5,2,1,6,5,1,2,5,1,0,4,5,5,4,5,6,4,0,0,2,3,1,1,Diariamente,1,1,32,0,3,2,Obrero,1,1,0,1,2,3.25
29552,Barcelona,Cataluña,4,5,4,2,6,5,1,3,4,1,0,4,5,5,5,5,8,8,0,0,14,3,1,1,Regularmente,0,0,47,1,3,2,Obrero,1,1,0,0,2,3.75
29733,Murcia,Región de Murcia,5,5,5,5,5,4,1,45,4,1,1,2,4,4,4,3,5,10,0,0,50,1,1,2,Regularmente,0,0,67,1,2,2,Comerciante,1,1,1,1,1,5.0
29830,Barcelona,Cataluña,5,5,5,0,6,2,1,48,5,1,1,4,4,4,5,4,6,5,0,0,20,1,1,1,Sin actividad sexual,0,0,81,1,4,2,Autónomo,2,1,0,1,1,3.75
30279,Madrid,Comunidad de Madrid,5,3,2,5,3,2,1,25,4,1,1,4,2,4,2,4,7,7,0,0,5,3,1,1,Regularmente,0,0,51,1,2,2,Mando,1,1,1,0,2,3.75
30564,Sevilla,Andalucía,4,5,3,3,4,3,1,30,4,1,1,3,4,4,4,4,7,5,0,0,1,1,1,2,Regularmente,1,0,53,1,1,2,Comerciante,1,1,1,0,0,3.75
