ID,PROVINCIA,COMUNIDAD,P_FELICIDAD,P_SALUD,S_NIVEL_VIDA,S_LABORAL,S_AMOR,S_SEXO,PAREJA,AÑOS_PAREJA,S_PAREJA,CONVIVE_PAREJA,CASADO,AFINIDAD_GEN,AFINIDAD_GUSTOS,AFINIDAD_SOCIAL,AFINIDAD_ECONOMI,AFINIDAD_SEX,IMPORTANCIA_SEX,IMPORTANCIA_SEX_PAREJA,EDUCACION_S,ATRACION_P,N_PAREJAS,COMUNICACION_SEX,R_EXT_MATRIMONIAL,ATRACCIÓN,F_SEXO,F_ANUAL,SEXO,EDAD,E_CIVIL,ESTUDIOS,SIT_LABORAL,OCUPACION,STATUS,NACIONALIDAD,RELIGION,SIT_ENT,PERCEPCION_EN,BIENESTAR
18509,Valencia,Valencia,4,3,3,4,6,5,1,19,4,1,1,3,4,4,4,5,8,7,0,0,40,3,1,1,Diariamente,1,0,43,1,2,2,Obrero,1,1,0,1,2,3.5
18542,Castellón,Valencia,5,4,1,4,6,5,1,12,5,1,1,4,5,5,5,5,6,6,1,0,10,3,0,1,Regularmente,1,0,32,1,2,2,Obrero,1,1,0,0,1,3.5
18547,Barcelona,Cataluña,4,1,2,0,6,4,1,28,5,1,1,3,4,4,4,4,8,8,0,0,3,3,0,1,Regularmente,0,0,47,1,2,2,Obrero,1,1,1,0,2,1.75
18604,Orense,Galicia,4,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,5,0,0,0,Sin actividad sexual,0,0,18,0,2,2,Obrero,1,0,1,0,2,4.25
18624,Ciudad Real,Castilla Mancha,2,4,4,2,3,2,1,24,4,1,1,3,2,4,4,4,8,4,1,0,1,1,0,1,Regularmente,0,0,48,1,3,2,Autónomo,2,1,1,0,2,3.0
18650,Lérida,Cataluña,4,3,4,4,5,5,1,19,4,1,1,4,4,4,4,5,8,8,0,0,10,3,0,1,Mensualmente,1,0,52,1,2,2,Administrativo,1,1,1,1,2,3.75
18668,Palma,Baleares,5,1,2,0,6,0,1,60,5,1,1,3,2,5,5,4,10,10,0,0,1,3,0,1,Sin actividad sexual,0,1,77,1,1,2,Mando,2,1,1,0,2,2.0
18696,Valencia,Valencia,5,5,4,0,5,4,1,43,4,1,1,3,4,4,4,5,9,8,0,0,9,3,0,1,Regularmente,0,0,69,1,2,2,Mando,1,1,1,1,2,3.5
18730,Barcelona,Cataluña,4,3,4,0,5,4,1,9,4,1,1,3,4,3,4,4,5,3,1,0,2,3,0,1,Regularmente,0,0,66,1,3,2,Director,2,1,1,0,2,2.75
18753,Soria,Castilla y León,5,5,4,3,6,4,1,10,5,0,0,3,3,4,3,4,6,8,1,0,1,3,0,1,Regularmente,0,1,26,0,3,0,Mando,1,1,1,0,1,4.25
18861,Las Palmas,Canarias,4,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,Sin actividad sexual,0,1,66,0,2,2,Comerciante,1,1,1,0,2,2.5
18866,Asturias,Asturias,2,1,4,0,3,1,1,38,1,1,1,0,1,4,4,1,10,0,0,0,500,1,0,1,Sin actividad sexual,0,0,68,1,3,2,Mando,1,1,1,0,2,1.75
18870,Pontevedra,Galicia,4,5,2,0,6,4,1,4,4,0,0,3,3,4,3,4,8,8,1,0,7,3,0,1,Regularmente,0,1,26,0,4,0,Obrero,1,1,0,0,2,2.75
18921,Barcelona,Cataluña,4,3,4,4,6,4,1,46,4,1,1,3,3,5,2,3,5,5,0,0,3,3,0,1,Mensualmente,1,0,76,1,4,2,Mando,1,1,1,0,2,3.75
19009,Valencia,Valencia,5,5,5,0,6,5,1,1,5,0,0,3,3,4,3,4,8,8,0,0,3,3,0,1,Regularmente,1,1,21,0,2,1,Mando,2,1,1,0,1,3.75
19048,Valencia,Valencia,4,5,5,0,6,4,1,42,4,1,1,3,4,4,5,4,8,8,0,0,1,3,0,1,Regularmente,1,1,66,1,3,2,Mando,1,1,1,0,2,3.5
19053,Barcelona,Cataluña,5,4,3,4,6,5,1,32,5,1,1,3,4,4,4,4,8,10,0,0,2,3,0,1,Regularmente,0,0,57,1,2,2,Mando,1,1,1,0,1,4.0
19056,Las Palmas,Canarias,4,5,3,4,5,4,0,0,0,0,0,0,0,0,0,0,8,0,0,1,35,3,1,0,Regularmente,0,0,29,0,4,2,Autónomo,2,1,0,0,2,4.0
19079,Barcelona,Cataluña,4,5,4,4,5,4,1,30,4,1,1,3,4,4,4,4,9,6,0,0,1,3,0,1,Regularmente,0,0,55,1,2,2,Obrero,1,1,1,0,1,4.25
19138,Cádiz,Andalucía,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,2,Sin actividad sexual,0,1,75,0,0,2,Agricultor,1,1,1,0,2,2.0
19145,Asturias,Asturias,4,3,2,2,6,5,1,22,5,1,1,4,4,5,4,5,6,6,0,0,1,3,0,1,Regularmente,0,0,40,1,2,2,Obrero,1,1,1,0,2,2.75
19186,Santander,Cantabria,5,2,4,4,4,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,3,1,0,Regularmente,0,0,46,0,2,2,Obrero,1,1,0,0,2,3.75
19247,Almería,Andalucía,4,4,4,4,6,4,1,15,4,1,1,3,4,4,5,5,8,7,0,0,25,3,0,1,Regularmente,0,0,43,1,4,2,Mando,2,1,1,0,2,4.0
19249,Málaga,Andalucía,4,5,3,3,4,3,1,14,5,1,1,3,5,4,4,4,10,10,0,1,8,3,0,1,Regularmente,1,0,38,1,0,2,Obrero,1,1,1,0,2,3.75
19278,Málaga,Andalucía,5,5,3,0,6,4,1,6,5,0,0,3,3,4,3,4,8,8,1,0,1,3,0,2,Regularmente,0,1,20,0,2,1,Obrero,1,1,1,1,2,3.25
19301,Almería,Andalucía,5,3,4,0,6,5,1,43,5,1,1,4,5,4,5,4,10,10,0,0,1,3,0,1,Mensualmente,0,1,62,1,2,2,Administrativo,1,1,1,0,0,3.0
19311,Málaga,Andalucía,5,4,5,4,5,5,1,4,5,1,1,3,4,4,4,5,8,8,0,0,1,3,0,2,Regularmente,0,1,28,1,2,2,Comerciante,1,1,1,1,2,4.5
19369,Asturias,Asturias,5,4,5,5,6,4,1,31,5,1,0,4,5,5,5,5,9,8,0,0,20,3,1,1,Regularmente,0,0,53,0,2,2,Comerciante,2,1,1,0,2,4.75
19387,Cádiz,Andalucía,5,5,2,2,6,5,1,1,5,0,0,3,3,4,3,4,5,6,1,0,4,3,0,2,Regularmente,0,1,25,0,3,0,Otro,1,1,0,1,2,3.5
19489,Santander,Cantabria,3,3,3,0,5,3,1,47,4,1,1,4,5,5,5,3,7,10,0,0,1,1,0,1,Mensualmente,0,1,72,1,1,2,Obrero,1,1,1,0,0,2.25
19523,Santa Cruz de Tenerife,Canarias,4,5,4,0,6,5,1,1,5,0,0,3,3,4,3,4,9,9,1,0,1,3,0,1,Regularmente,0,0,19,0,2,1,Mando,1,1,1,0,2,3.25
19605,Santander,Cantabria,4,5,4,4,3,2,0,0,0,0,0,0,0,0,0,0,6,0,1,0,6,3,0,1,Sin actividad sexual,0,0,28,0,4,2,Mando,1,1,1,0,1,4.25
19634,Cádiz,Andalucía,5,4,4,5,6,5,1,17,4,1,1,3,5,5,4,4,8,8,0,0,7,3,0,1,Regularmente,0,0,43,1,2,2,Director,2,1,1,0,2,4.5
19667,Jaén,Andalucía,4,3,3,0,6,1,1,50,5,1,1,4,4,5,5,4,10,10,0,0,1,3,0,1,Sin actividad sexual,0,1,75,0,0,2,Obrero,1,1,1,0,2,2.5
19702,Almería,Andalucía,5,5,4,5,5,4,1,20,5,1,1,3,4,4,5,4,8,8,0,0,1,3,0,1,Regularmente,0,0,34,1,3,2,Mando,1,1,1,0,2,4.75
19705,Cádiz,Andalucía,4,5,4,4,5,4,1,28,4,1,1,3,4,4,4,4,6,8,0,0,1,3,0,2,Regularmente,0,1,33,1,4,2,Mando,2,1,0,0,2,4.25
19723,Almería,Andalucía,4,5,4,4,6,5,1,11,5,1,1,3,4,4,4,5,8,9,0,0,998,3,0,1,Regularmente,0,0,38,1,3,2,Mando,1,1,1,1,2,4.25
19727,Las Palmas,Canarias,2,2,4,0,5,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,25,3,0,1,Sin actividad sexual,0,0,84,0,0,2,Obrero,0,1,1,0,2,2.0
19751,Murcia,Murcia,4,5,4,4,5,3,1,20,3,1,1,3,4,4,4,4,8,9,0,0,1,3,0,1,Regularmente,0,0,40,0,2,0,Obrero,1,0,1,0,2,4.25
19760,Málaga,Andalucía,3,3,3,0,4,3,1,46,3,1,1,3,4,4,4,4,7,7,0,0,1,1,0,1,Regularmente,0,1,70,1,0,2,Comerciante,1,1,1,1,2,2.25
19839,Almería,Andalucía,4,4,2,5,4,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,998,0,0,1,Ocasionalmente,0,0,18,0,0,2,Obrero,1,1,0,0,1,3.75
19849,Asturias,Asturias,4,5,4,0,1,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,3,1,0,Mensualmente,0,0,46,0,3,0,Obrero,1,1,1,1,2,3.25
19858,Almería,Andalucía,5,5,5,0,5,4,1,48,4,1,1,4,4,5,5,4,5,5,0,0,1,3,0,1,Mensualmente,0,0,75,1,0,2,Obrero,1,1,1,1,1,3.75
19874,Huelva,Andalucía,4,3,4,0,5,4,1,23,4,1,1,3,4,4,3,4,10,10,0,0,50,3,0,1,Regularmente,0,0,64,1,2,2,Obrero,1,1,1,0,2,2.75
19916,Almería,Andalucía,4,5,2,2,5,5,1,4,4,1,1,3,4,4,1,5,8,6,1,0,6,3,0,1,Regularmente,0,0,27,1,2,2,Obrero,1,1,1,1,2,3.25
19923,Jaén,Andalucía,5,5,4,4,5,4,1,7,4,0,0,3,3,4,3,4,9,8,0,0,1,3,0,1,Regularmente,0,0,22,0,2,1,Comerciante,1,1,1,0,1,4.5
19936,Cádiz,Andalucía,4,5,4,0,2,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,Sin actividad sexual,0,1,82,0,2,2,Administrativo,1,1,1,1,2,3.25
