,COMUNIDAD,S_AMOR,AÑOS_PAREJA,S_PAREJA,CONVIVE_PAREJA,AFINIDAD_GEN,AFINIDAD_GUSTOS,AFINIDAD_SOCIAL,AFINIDAD_ECONOMI,AFINIDAD_SEX,IMPORTANCIA_SEX,IMPORTANCIA_SEX_PAREJA,EDUCACION_S,ATRACION_P,N_PAREJAS,COMUNICACION_SEX,R_EXT_MATRIMONIAL,ATRACCIÓN,F_ANUAL,SEXO,EDAD,ESTUDIOS,SIT_LABORAL,STATUS,NACIONALIDAD,RELIGION,BIENESTAR,OCUPACION_Agricultor,OCUPACION_Autónomo,OCUPACION_Comerciante,OCUPACION_Director,OCUPACION_Mando,OCUPACION_Obrero,OCUPACION_Otro,F_SEXO_Diariamente,F_SEXO_Mensualmente,F_SEXO_Ocasionalmente,F_SEXO_Regularmente,F_SEXO_Sin actividad sexual
32,1,5,32,4,1,4,5,5,5,5,7,7,0,0,1,3,1,1,0,1,56,2,2,2,1,0,4.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,3,5,12,5,1,3,4,4,4,4,8,8,0,0,2,3,0,1,0,0,48,2,2,1,1,1,3.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
34,1,4,1,5,0,3,3,4,3,4,8,8,0,0,6,3,0,1,0,0,24,2,2,1,1,2,4.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,16,5,20,4,1,3,4,5,5,5,8,8,0,0,1,3,0,1,0,1,42,2,2,1,1,1,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,1,5,2,4,0,3,3,4,3,4,6,5,1,0,1,3,0,2,0,0,20,2,1,1,1,1,3.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,12,4,1,4,0,3,3,4,3,4,6,7,1,0,4,3,1,2,1,1,22,2,2,2,1,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,2,5,45,4,1,4,4,5,4,4,7,7,0,0,1,3,0,1,0,1,63,1,2,1,1,1,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
39,1,4,40,4,1,3,4,4,4,4,6,6,0,0,1,1,0,1,0,1,61,1,2,1,1,1,4.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,12,4,24,5,1,3,4,4,4,4,8,8,0,0,1,3,0,2,0,1,43,4,2,2,1,0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,12,0,0,0,0,0,0,0,0,0,10,0,0,0,3,3,0,1,1,0,65,1,2,1,1,1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
42,1,5,10,5,1,4,4,4,4,4,9,9,1,0,6,3,0,1,0,0,35,3,2,2,1,0,4.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43,12,5,28,5,1,3,5,4,4,5,7,5,0,0,1,3,0,1,0,1,49,2,2,1,1,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,2,5,24,4,1,3,4,5,4,4,7,7,0,0,1,3,0,1,1,1,42,2,2,1,1,1,3.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45,1,5,2,5,0,3,3,4,3,4,8,10,1,0,3,3,0,1,0,1,18,2,2,2,1,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,15,5,16,5,1,3,4,4,4,5,9,8,1,0,1,3,0,1,0,1,32,2,2,1,1,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,14,5,35,4,1,4,5,4,4,5,7,6,0,0,1,3,0,1,0,0,62,2,2,1,1,0,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48,1,5,42,4,1,2,4,4,4,4,7,10,0,0,1,3,0,1,1,1,72,1,2,1,1,0,4.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
49,1,5,18,5,1,3,4,4,3,4,7,7,0,0,1,3,0,1,0,0,34,2,2,1,1,0,3.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
50,15,5,1,4,0,3,3,4,3,4,8,10,0,0,2,3,0,1,0,1,31,2,0,1,1,0,2.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
51,1,4,43,5,1,3,4,4,4,4,5,7,0,0,1,3,0,1,0,1,63,1,2,1,1,1,3.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52,1,4,23,5,1,2,4,5,1,4,10,10,0,0,1,1,0,0,0,0,65,2,2,1,1,1,2.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
